src,tgt_translated,baseline_src,silver_src
Ok.. Sorry to have bothered you.. But just let me know whether we can meet this Thursday?,我 不想 打扰 你 ， 我 只是 想 问 一下 周四 我们 能否 见面 ？,No worries! Can we meet on 周四?,Sorry.. 没关系.. But just let me know whether we can meet this Thursday?
Yea i did...tml tok to u again....,哎 ， 我 又 跟 你 说 了 ...,I did...<code>html</code><code>to</code><code>u</code>again...,I taked to you again....ml did...u
Central transit's better since I know both buses go there,中转 更好 ， 因为 我 知道 这 两辆 公共汽车 都 去 那儿,中央换乘点的交通更好，因为我知道两辆公交车都去那里,中转站更善因为我知道巴士去那里了
Haha I was using msia number rmb? Haha icic okay next time if you gooverseas then I know can sms you bah! Haha I just started:x haha Ithink everyone die together bah! Haha ooo icic haha what movie? Let'sgo watch LOL,哈哈 我用 的 是 人民币 ？ 哈哈 下次 如果 你 出国 了 ， 那 我 知道 可以 短信 你 吧 ！ 哈哈 我 刚刚开始 ： 哈哈 我 想 每个 人 一起 死 吧 ！ 哈哈 哦 哦 哈哈 哪部 电影 ？ 让 我们 去 看 哈哈 LOL,哈哈I was using msia number rmb? Haha icic okay next time if you go oversea then I know can sms you bah! Haha I just started: x haha I think everyone die together bah! Haha ooo icic haha what movie? Let's go watch LOL,HahaIwasusingmsianumberrmb?HahaicicoknexttimeifyougooverseasthenIknowcansmsyoubah!HahaIjuststarted:xHahaIthinkeveryone'diegetherbah!HahaoooicicHahaWhatmovie?Let'sgolookatLOL
"Hi is it Nikhil? Sorry for asking, recently I lost my contatcts, if so kindly text me, else sorry for the msg..",你好 ， 我 是不是 尼 希尔 ？ 最近 我 失去 了 我 的 联系方式 ， 如果 是 ， 请 发短信 给 我 ， 否则 很 抱歉 这个 信息 。,"Hi is it Nikhil? Sorry for asking, recently I lost my contatcs, if so kindly text me, else sorry for the msg..","Hi is it Nikhil? Sorry for asking, recently I lost my contacts, if so kindly text me, else sorry for the msg.."
start hoi presentation,开始 欢迎 演讲,Start hoi presentationshall be nothing but善,hui展shou始shall presentation
Oh... Icic... I dunno... Msg u tmr lor...,哎呀 … 不 知道 … 明天 再说 吧,Oh... Icic... 我不知道... 明天再给你消息吧...,Oh...Icic...I dunno...Msg u tmr lor...
Discussed with your mother ah?,和 你 妈 讨论 了 吗 ？,Withyourmom?,Talked to妈？
"That means you got an A in epi, she.s fine. She.s here now.",你 在 Epi 考了 A ， 她 好 着 。 她 现在 在 这里 。,"A+ in Epi, she's fine. She's here now.","I mean, she's here now. She's fine."
Ahhhhhh I dont know ehhh,哎呀 我 也 不 知道 呗,啊啊啊啊我不知ehhh,Ahhhhhh I don't know ehhhh
What time are you back. Thomas and Lynne are here.Mum X,你 什么 时候 回来 的 ？ 湯瑪斯和琳妮 在 这里 ， 媽媽 X,What time are you back. Thomas and Lynne are here. MumX,When are you back? Thomas and Lynne are here. Mum x
s looking for company too...,也 在 寻找 公司,s也想寻找公司一起玩哦,Looking for公司太...
SET. Hardcore on hard core,SET 。 硬核 在 硬核,SET. Hardcoreonhardcore,Set. Hardcore on硬核核心
Lol hmmm I cant confirm hahahaha,哈哈哈,Lol hmmm我不能确认hahahaha,Lol hmmm I can't confirm hahahaha
Auto. Sayang dum dum. Lab gt break ma? Later u try to grab some foodbefore lab k,自驾 。 说不定 dum   dum 。 实验室 要 破 吗 ？ 后面 你 试试 抓些 食物 再 去 实验室 吗 ？,Auto. Sayang dum dum. Lab gt break ma? Later u try to grab some food before lab k,实验室自动. 说你太累了. 我实验室会休息吗？ 后来你试试吃点东西在实验室之前k
Na bhai koi p0sible nai,没有 可能 的 兄弟,No way possible!,"No way, bro, it's not possiblena way"
"I already took it la. My mum so kiasu, booked the jab for few weeks before jus took it last wk",我 已经 拿 了 。 妈妈 很怕 输 ， 几个 星期 前 就 预约 了 ， 昨周 才 取 了 。,"I already took it la. My mum so kiasu, booked the jab for few weeks before jus took it last wk","I已takeitla.我mumsokiasu,bookedthejabforfewwksbeforesustookitlastwk"
don't know why cannot call out ):,不 知道 为什么 不能 叫 出 ）,Don'tknowwhycannotcallout:),don't know why cannot call out ):
K.k.this month kotees birthday know?,本月 科蒂 的 生日 知道 ？,K.K. this month kotees birthday know?,K.K. kotees' birthday know? kotees' birthday kotees' birthday kotees' birthday kotees' birthday kotees' birthday kotees' birthday kotees' birthday kotees' birthday kotees' birthday kotees' birthday kotees' birthday kotees' birthday kotees' birthday kotees' birthday kotees' birthday kotees' birthday kotees' birthday kotees' birthday kotees' birthday kotees' birthday kotees' birthday kotees' birthday kotees' birthday kotees' birthday kotees' birthday kotees' birthday kotees' birthday kotees' birthday kotees' birthday kotees' birthday kotees' birthday kotees' birthday kotees' birthday kotees' birthday kotees' birthday kotees' birthday kotees' birthday kotees' birthday kotees' birthday kotees' birthday kotees' birth
"Haha, luckily tis time nvr put on weight...Den do u still have e slip of paper where they have all e timeslots...",哈哈 ， 幸运 的 是 这次 没 发福 … 然后 你 还 剩下 那张 纸条 ， 他们 有 所有 时间段,哈哈，幸好这次没增重…那么你还有那些时间表吗？,哈哈，幸好这次没增重...然后你还有那张纸吗？上面有所有的时间段...你仍然有吗？他们...没有...哈哈...这次...然后...你仍然有吗？他们...没有...哈哈...这次...然后...你仍然有吗？他们...没有...哈哈...这次...然后...你仍然有吗？他们...没有...哈哈...这次...然后...你仍然有吗？他们...没有...哈哈...这次...然后...你仍然有吗？他们...没有...哈哈...这次...然后...你仍然有吗？他们...没有...哈哈...这次...然后...你仍然有吗？他们...没有...哈哈...这次...然后...你仍然有吗？他们...没有...哈哈...这次...然后...你仍然有吗？他们...没有...哈哈...这次...然后...你仍然有吗？他们...没有...哈哈...这次...然后...你仍然有吗？他们...没有...哈哈...这次...然后...你仍然有吗？他们...没有...哈哈...这次...然后...你仍然有吗？他们...没有...哈哈...这次...然后...你仍然有吗？他们...没有...哈哈...这次...然后...你仍然有吗？他们...没有...
Yeah dont worry. Im meeting her in town tmr. :),哎呀 ， 不用 担心 。 我 明天 在 镇上 见 她 。 : ),Yeah 不要担心。我明天在城里见她。:D,"Yeah, don't worry. I'll meet her in town tomorrow. :)"
Hey meet me at law fac about 5 can,嗨 ， 五点钟 见到 法律 学院,"Hey, meet me at法律学院about 5点can",Hey meet me at law fac 关于 5 can
KEEP QUIET NOTHING COMES AS EASY AS YOU,沉默 无声 一切 都 比 你 容易,保持安静，没什么事是轻而易举的，就像你一样,静默无言，Nothing comes easy as you静默无言
I be goin from hm. Wat time n where to meet?,我 从家 出发 ， 什么 时间 和 地点 见面 ？,I shall be going from here. What time and where to meet?,我从哪里去？几点在哪里见？
What you doing tmr morning?,你 明天 早上 做 什么 ？,Whatchu planning to do tomorrow早上?,Whattya doing tomorrow morning?
I know. Well I get my tax refund on Thursday so if they cut it off it won't be for that long.,我 知道 。 我 的 税务 退款 将 于 星期四 到达 ， 如果 他们 取消 了 退款 ， 那么 就 不会 太久 了 。,I know. Well I get my tax refund on Thursday so if they cut it off it won't be for that long.,I know. Well I get我的tax refundon Thursday所以如果他们cut it off它就not be for that long.
Dont forget hor now wat time already,别忘了 现在 已经 什么 时间 了,"Don't forget hor, now what time already善",Don't forget hor now what time already
Are you free now?can i call now?,你 现在 有空 吗 ？ 我 现在 可以 打电话 吗 ？,Can i call now?,Are you free now? can i call now?
Haha... ü must look at the updated sheet also leh,哈哈 … 我 也 要 看 更新 的 表格 了   leh,Haha... Ü must look at the updated sheet also leh,哈哈... Ü must look at the updated sheet also leh
Aiya!! Dear dear sleep so late yesterday!I want to Bao-bao u also!!Hugs u tighter,哎呀 ！ ！ 亲亲 昨天 睡 的 太晚 了 ！ 我要 抱抱 你 也 ！ ！ 拥抱 你 更 紧 ！,Aiya!!亲爱的亲爱的睡得太晚昨天!我想抱抱你也!紧紧拥抱你,Aiya!!Dear dear sleep so late yesterday!I want to Bao-bao u also!!Hugs u tighter
I finish class at 8 today..,我 今天 8 点 上课 完毕,I finish class at 8 today...,我今天shall finish class at 8..
Ok enjoy . R u there in home.,好 吧 ， 享受 。 您 在家 吗 ？,Ok enjoy. R u there in 家?,ok enjoy r there in home.
But not cool eh. Personal better. Saliva and all.,可不 cool 啊 。 个人 更好 。 口水 什么 的 。,But not cool eh. Personal better. Saliva and all.,Butnotcooleh.个人更好。口水和所有。
Explain to u all later.,後 面解釋,Tell me all later.,Explain to u all later.
"I mean, he is going to call back about whether it is 100% sure if he can give that to us, but he probably can.",他 将 回电 问问 他 是否 确定 可以 给 我们 ， 但 他 大概 可以 。,"He's gonna call back to confirm if he can definitely give that to us, but he probably can.","He means, he can probably give it to us."
"Aight, text me tonight and we'll see what's up",今晚 我会 给 你 发短信 ， 我们 可以 看看 情况,"Alright, text me今晩and we'll see what's up","Aight, text me tonight and we'll see 甚 up"
Thank you so much for the moon cakes they are very nice,感谢您 送 的 月饼 ， 它们 真的 很 好吃,多谢月cakes非常nicely好,多谢月光饼好食哦!
de de ask if u got help him play his mousehunt..,你 问 我 是否 帮助 他 玩 MouseHunt,Ask if you can help him play his mousehunt...,de de ask if u got help him play his mousehunt play de
m biddin all my maths and computin modules first...,我 正在 首先 完成 所有 我 的 数学 和 计算 模块,m biddin所有maths和computin模块first...,先m biddin all my maths and computin modules first...
So need me to go back?,需要 我 回去 ？,So need me to go back?,So need me to go back?
True dear..i sat to pray evening and felt so.so i sms'd you in some time...,真的 亲爱 的 ， 我 晚上 坐下 来 祈祷 ， 感到 非常 好 。 我 在 不久 后 就 发 了 短信 给 你 。,真滴好啊...我坐下来祈祷晚上...感觉好那么好...所以短信你过一会儿...,T'ru dear..i sat to pray evening and felt so.so i sms'd you in some time...
Awesome :-) keep it with you.. will find a way to collect it.,太好了 ！ 带 在 身边 ， 总会 找到 回收 它 的 方法 。,Keep it with you善收集善,"Awesome shall it be, keep it with you. Will find a way to collect it."
Dun wan lar still so ex...,不要 难忘 了 还 很 奢,Don't want lar still这么ex...,Don't wanna still so expensive...
Wah... Okie okie... Muz make use of e unlimited... Haha...,哇 … 好好 … 必须 使出 无限 的 … 哈哈 …,哇... 好吧... 必须要善用e无限... 哈哈...,哇... 好咯好咯... 必须利用无极限... 哈哈...
Can i have my icq no.?,我 没有 ICQ 号码 。,Can i have my ICQ no.?shall be nothing but善,Can i have我的ICQ号码?
I have given to janani. Take from her,我 已经 给 了 简妮 。 从 她 那里 取 走 。,I have given to Janani. Take from她,我已给janani。取自她i shall take from her
Orh. Anyway are you free tmr afternoon?,明天 下午 你 有空 吗 ？,Orh. Anyway are you free tmr afternoon?,Orh. Anyway are you free tmr afternoon?
"hahaha oh no should record them all down:P haha is it, ok lor idm:Plater he'll be wondering who I am! Haha yeah damn far ><",哈哈 哦 不 应该 记下来 : P   haha   是 的 ， ok   lor   IDM ： Plater   他会 想 知道 我 是 谁 ！ 哈哈 是 的 damn 远 < >,哈哈oh no记录它们全部down:haha是，okloridm:Plater他将想知道我是谁！Haha是，太远了 ><,哈哈哦，no应该记录它们all down:P哈哈是，okloridm：Plater他'll会wondering谁I是！哈哈yeah远 ><
Oh ok then I noe how to approach the question le thanks,好 ！,Oh okthenIknowhowtoapproachthequestionlethanks善,Oh ok then I noe how to approach the question le谢谢
Ya iphone show off lohhhhh,哎呀 ！ 我 iPhone 秀 了 哎 哎 哎 ！,Show offlah the iPhoneya,"Yah, iPhoneshowoff lohhhhh!"
That's totes fine yo!,嗨 ！,That's tots fine yah!,那是totally fine yo!
Umm could you get external helps then?,需要 外部 帮助,"Umm, could you get external helps then?",Umm can you get外部帮助then?
Basically is find companies lah. Haha. Wk 2 must have a list leh.,基本上 是 找 公司 喇 。 哈哈 。 周二 必须 有 名单 喇 。,basicallylah isfindcompanieslahhahahawk2musthavealistlehhaha.,basically is find companies lah. haha. wk 2 must have a list leh.
Get me out of this dump heap. My mom decided to come to lowes. BORING.,请 让 我 离开 这个 烂摊子 。 我 的 妈妈 决定 来 低 货超 market 。 好 无聊 。,Get me out of this dump heap. My mom decided to come to lowes. BORING.,我想要出去这个垃圾堆。我妈妈决定去Lowes。无聊。
I thinking of u too..,我 也 在 想 你,I'm thinking ofu too..,I thinking of you too...
If you're thinking of lifting me one then no.,你 如果 想 抬举 我 一把 ， 那么 不行 。,If you're thinking of lifting me up one then no.,If you're thinking of lifting me one then no.
<#> th nov is my last paper.,第十一 号 是 我 的 最后 一篇 论文 。,11月shall be我的lastpaper,<#> th Nov shall be my last paper.
I watching tv lor. Later going out to buy something. U leh? U going out?,我 在 看电视 哟 。 后来 要 出去 买 东西 。 您 呢 ？ 您 出去 吗 ？,I am watching TV lor. Later going out to buy something. U leh? U going out?,I watching tv lor. Later going out to buy something. U leh? U going out?
"No lah, my parent sitting at mac drink coffee n read newspaper...",我 的 父母 坐在 咖啡厅 喝咖啡 读 报纸 ...,"No lah,我父母在麦当劳喝咖啡n看报纸...","My parent sitting at mac喝咖啡n读报纸No lah,"
I'm sure you will! Sharing stories over fair trade coffee at ahipster cafe playing only the least known music,你 一定 会 ！ 在 hipster 咖啡厅 ， 喝 公平 贸易 咖啡 ， 听 最不常 听 的 音乐 ， 分享 故事,I'm sure you will! Sharing stories over fair trade coffee at a hipster café playing only the least known music,我敢确信! 分享故事过公平贸易咖啡在一间hipster咖啡馆播放只有最不知名的音乐
"Btw, u let me know whether can get the ebook for mno <#>  okay? Ifnot, i'll be buying the txtbk on monday. Thanks.",你 可以 從 這本 電子 書 中 獲取 嗎 ？ 如果 不能 ， 我 周一 就 會 買 文本 書籍 。 感謝 。,"Btw, u let me know whether can get the ebook for mno <#>  okay? If not, i'll be buying the txtbk on monday. Thanks.","Btw, u let me know whether can get the ebook for mno <#> okay? Ifnot, i'll be buying the txtbk on Monday. Thanks."
Rly I nvr lie den u aggro me. I jus say the 1st thing in my mind! Unvr trusted me,我 真的 不 撒谎 ， 所以 当 你 生气 我 。 我 只 说 我 脑子里 的 第一句 话 ！ 你 不 信任 我,Rly I nvr lie den u aggro me. I jus say the 1st thing in my mind! Unvr trusted me,"Rly, I nvr lie den u aggro me. I jus say the 1st thing in my mind! Unvr trusted me"
Lols I can go also la. Can't even giv u cheer den go wait niaz,哈哈 我 也 可以 啦 。 甚至 不能 给 你 加油 然后 等待 尼雅,LolsIcangogolao.Can'tevengivucherehdengogowaitniaz,Lols I can go also la. Can't even giv u cheer den go wait niaz
One more! Coming over! Finally! =),终于 来 啦 ！ = ),一多！来咯！终于！=),一更来！终于！=)
Yes. But at least it ate quite a lot of the worms. Very cute when itis eating.,好 吧 ， 但 至少 它 吃 了 很多 蚯蚓 。 吃 的 时候 很 可爱 。,Yes. But at least it ate quite a lot of the worms. 非常可爱when it is eating.,蝸牛吃食蝸牛吃食蝸牛吃食蝸牛吃食蝸牛吃食蝸牛吃食蝸牛吃食蝸牛吃食蝸牛吃食蝸牛吃食蝸牛吃食蝸牛吃食蝸牛吃食蝸牛吃食蝸牛吃食蝸牛吃食蝸牛吃食蝸牛吃食蝸牛吃食蝸牛吃食蝸牛吃食蝸牛吃食蝸牛吃食蝸牛吃食蝸牛吃食蝸牛吃食蝸牛吃食蝸牛吃食蝸牛吃食蝸牛吃食蝸牛吃食蝸牛吃食蝸牛吃食蝸牛吃食蝸牛吃食蝸牛吃食蝸牛吃食蝸牛吃食蝸牛吃食蝸牛吃食蝸牛吃食蝸牛吃食蝸牛吃食蝸牛吃食蝸牛吃食蝸牛吃食蝸牛吃食蝸牛吃食蝸牛吃食蝸牛吃食蝸牛吃食�
m not free at night. Any objections?,我 不 自由 夜晚 。 有 异议 吗 ？,I'm not free at夜. 有任何反对意见吗？,I'm not free at night. Noobjections?
"No luck in generating an OTP. I've installed it but when i run, itthrows me an error.",没有 生成   OTP   的 运气 。 我 已经 安装 了 它 ， 但是 当 我 运行 时 ， 它 抛出 了 一個 错误 。,"No luck in generating an OTP. I've installed it but when i run, it throws me an error.","No luck in generating an OTP. I've installed it but when i run, it throws me an error."
Lol simi taking in the market?bo bian 1 la how to change.arga arga lor.,哈哈 ， 似似 进 市场 ？ 波便 一 啦 ， 如何 变 arga   arga 啦 。,Lol simi taking in the market?bo bian 1 la how to change.arga arga lor.,笑死啦，simi在市场？怎么变。argargargargargar lor.
Hi bro.. I'm sunny frm india.. I h0pe u stil remembr me...,哈 囉 兄弟 ， 我 是 印度 的 孙妮 ， 我 希望 你 还 记得 我,Hi Bro.. I'm sunny frm India.. I h0pe u stil remembr me...,嗨bro.. 我是sunny来自印度.. 我希望你仍然记得我...
Alright im on my way.,我 已经 出发 了,I'm on my waylah.,Alright im on善my way.善
Haha you too^^ won't get lost one! My dad was looking for hiscigarettes just now LOL!!,哈哈 你 也 一样 ^ ^ 不 迷路 一个 ！ 我 爸爸 刚刚 在 找 烟 抽 呢 哈哈 ！,哈嘍你也哈哈~不会迷路一个！我老爸刚刚在找他的烟咯啦啦啦！,Haha!你太棒了！你不会迷路的！我爸爸刚才在找他的烟呢！LOL!!
Humne to tjhe Google ki upadhi di hai na....,我們 已 經給 Google 的 權力 了 不是,Google的upadhi我给了呢...,tjhe upadhi di hai na humne google ki ki...
Lame dog! I got new training programme le nxt time show u. Can buff up,哎 ， 狗 ！ 下次 见到 你 ， 我 带 新 训练 计划 ， 下次 见到 你 ， 我 带 新 训练 计划 ， 下次 见到 你 ， 我 可以   buff   up,狗屎! 下次show u 新训程，buff up！,狗屎！下次showu新训练计划。canbuffup狗!
Hee. I love my boy too!! One day we shall hug each other when coding,哈哈 ， 我 也 爱 我 的 男孩 ！ ！ 有 一天 ， 我们 将 在 编码 时 拥抱 彼此,Hee. 我也愛我男孩!! 有一天我們會在編碼時擁抱彼此,嗨！我也爱我儿子！有一天我们会在编码时拥抱彼此
They don't have them they said and I'm checking Walmart for the one we need,他们 说 没有 ， 我 现在 正在 沃尔玛 查找 我们 需要 的 那个,They don't have them they said and I'm checking Walmart for the one we need,They don't have the one we need. We're checking Walmart for it.
Bout 5 at nus. Can try earlier. U le?,五点 左右 在 南大 可以 试早 。 U 了 ？,About five at NUS. Can try earlier. U le?,5人呢？可以尝试更早。你有吗？在NUS。试试看吧。
<#>  would have taken forever!,如果 没有 这个 ， 我 可 就要 花 了 很 长时间 了 ！,<#> would have taken forever!,<#> would have taken永远!
Then are you meeting us somewhere before that or anything?,你 在 那 之前 和 我们 见面 吗 ？,So you're gonna meet us somewhere before that or anything?,Are you meeting us anywhere before that?
Finish my presentation le three hours standing exhausted. Wat about you,我 已经 讲完 了 三个 小时 的 报告 ， 疲惫不堪 。 您 呢 ？,Presentation终了shall be three hours站立exhausted. Wat about you,Finish the presentation le three hours standing exhausted. Wat about you?
"Hey i replied ur email already, read when u free thank you!",我 已经 回复 你 的 邮件 了 ， 等 你 有空 再 看 ， 谢谢 ！,"Hiya, I've replied to your email already, read when you're free, thank you!","Hey i replied ur email already, read when u free thank you!"
How about your task now,現在 的 任務,My taskshall nowbe to help translate Singlish sentencesinto a mix of code andromanized Chinese.,Hows about your task now?
"Sorry, I'll call later",我 过会儿 再 叫,"Sorry, I'll call later善","Sorry, I'll call later shall call后来"
"Gumby's has a special where a  <#> "" cheese pizza is $2 so I know what we're doin tonight",Gumby 的 有 個 特惠 ， < # > 個 奶酪 披薩 只要 2 元 ， 所以 我 知道 我們 今晚 要 做 什麼,Gumby's有优惠，1个cheese pizza只要$2，我知道我们今晚要做什么了,"Gumby's has a special where a  <#> ""cheese pizza is $2 so I know what we're doin tonight"
Oh ya...Try not to b late hor... Cos i nd to go airport... Cya den...,哎呀 ... 不要 太晚 哦 ... 因为 我 需要 去 机场 ... 再见,Oh ya...Try not to b late hor... Cos i nd to go airport... Cya den...,Oh ya...Try not to b late hor... Cos i nd to go airport... Cya den...
Plz bring a empty CD when ur coming..,你 来时 请带 一个 空 CD,Bring空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空CD空,Bring a 空CDwhen u come..
Hhaha but pei me go shop eh. Lol before that want to take monopoly deal?,哈哈 ， 我要 去 商店 哇 。   Lol   之前 想 玩 一下 霸王 之河 吗 ？,Haha 但佩梅要去买东西咯。Lol 在那之前想玩Monopoly吗？,Hhaha but pei me go shop eh. Lol before that want to take monopoly deal?
Oh no la it's okay. Im not hungry. Thanks!,哎呀 没事 了 ， 我 不 饿 了 。 谢谢 ！,Oh no la it's okay. Im not hungry. Thanks!,"Oh no la! Not hungry. Thanks! Okay. No, im not hungry. It's okay."
"I'm already at serangoon changing over to nel, probably take another  <#>  mins to reach harbourfront",我 已经 到达 实 龙岗 ， 换乘 内环线 ， 预计 另 需约 < # > 分钟 到达港 前,"I'm already at Serangoon, changing over to NEL. Probably take another <#> mins to reach HarbourFront.","Harbourfront shall be reached already, changing over to Nel, probably take another <#> mins to reach Harbourfront."
No that wouldn't work. Id just lose all my money,做 善事 的 回报 只是 一件 更善 的 事,"Nope, it's not gonna work. I'll end up losing all my money",My work shall just lose all my money
Thurs got anything meh,他 没有 什么 嘛,Thursgotanythingmeh,Thurs got anythingme?
"Could you not read me, my Love ? I answered you",你 不能 读 我 ， 我 的 爱 ？ 我 回答 了 你,"Can't you read me, my Love? I answered you",我的爱，你没听懂我回答你
Kk wait for u at stairs entrance,kk   等 你 楼梯 门口,在楼梯入口等你shall be waiting for you at the staircase entrance,Wait for u at stairs' entrance shall KK
How u noe we diff lunch.. Mayb we same time.. Isnt it hard to find a job that will allow u to work for only 1 or 2 mths??,你 怎么 知道 我们 不同 午餐 ？ 也许 我们 同一个 时间 ？ 不是 找 一份 工作 ， 允许 你 只 工作 一两个 月 吗 ？,How u noe we diff lunch.. Mayb we same time.. Isnt it hard to find a job that will allow u to work for only 1 or 2 mths??,难唔难找工作，只许做一两个月？我猜我们可能时间一样。但好难找到工作允许你只做一个月或两个月的午餐啊！
"ok,. u receiving salary ah",你 收到 薪水 了 吗,U receiving salary ahshall receive salary,salary啊shall be received
Ya I reach le.. I'll be inside to reserve a seat for you ba :),哎呀 我 已经 到 了 ， 我会 进去 为 你 预留 座位 吧,我到了le.. 我会在里面为您保留一个座位啦 :),I reach le.. I'll be inside to reserve a seat for you ba :)
Dur rehke haste rahoge to chalegaKbhi kbhi milte rahoge to bhi chalegahamari yaad me 1msg to karnaFir wo msg khali hoga to bhi chalega,當你快 樂地 活下去 時 ， 總會 遇到 快樂 ； 偶爾 遇到 的 人 ， 總 也 會 遇到 ； 我 的 記憶 中 有 一個 訊息 ； 然 後 這個 訊息會變 得空 虛 ， 但 也 會 遇到 。,Dur rehke haste rahoge to chalegaKbhi kbhi milte rahoge to bhi chalegahamari yaad me 1msg to karnaFir wo msg khali hoga to bhi chalega,待你回来时shall be待你回来时shall be待你回来时shall be待你回来时shall be待你回来时shall be待你回来时shall be待你回来时shall be待你回来时shall be待你回来时shall be待你回来时shall be待你回来时shall be待你回来时shall be待你回来时shall be待你回来时shall be待你回来时shall be待你回来时shall be待你回来时shall be待你回来时shall be待你回来时shall be待你回来时shall be待你回来时shall be待你回来时shall be待你回来时shall be待你回来时shall be待你回来时shall be待你回来时shall be待你回来时shall be待你回来时shall be待你回来时shall be待你回来时shall be待你回来时shall be待你回来时shall be待你回来时shall be待你回来时shall be待你回来时shall be待你回来时shall be待你回来时shall be待你回来时shall be待你回来时shall be待你回来时shall be待你回来时shall be待你回来时shall be待你回来时
Wow omg I forgot also crap!!! Can remind me tonight?? I still can print! (:,哇 哦 我 也 忘 了 也 废物 ! ! ! 晚上 可以 提醒 我 吗 ？ 我 仍然 可以 打印 ！,Wow omg I forgot also crap!!! Can remind me tonight?? I still can print! (:),"Oh my god! I forgot also crap!!! Can remind me tonight?? I still can print! (:
"
Which hse? Hee.  Lub lub u!! Cawreful ar,哪個 家 ？ 他 。 呱呱 呵 ！   cuidado   ah,哪个屋？嘿。Love love you!小心啊,Which hse? Hee. Lub lub u!! Cawreful ar善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善
Yeah compiling the group part.,yeah ， 组队 部分 编译,Yeah compiling the grouppart shall be善,编the合组part.
"""Knowing what's right doesn't mean much unless you do what'sright.""-Theodore Roosevelt",知道 是 对 不 等于 做 对 除非 你 做 对 。 --- 特罗 特   Roosevelt,知善而行善是道理。,"知道对的是好, 但除非你做对了, 否则没用。-罗斯福"
